threshold,Accuracy,Precision,Recall,F1
0.195,0.5218342448464451,0.5214935940660823,0.9990311642176651,0.6852744088165256
0.185,0.5217501051745899,0.5214460267970001,0.9991926368480543,0.6852713178294575
0.18,0.5216659655027346,0.5213984835720303,0.9993541094784434,0.6852682278691248
0.19,0.5217501051745899,0.5214496418036241,0.9990311642176651,0.6852364602946063
0.145,0.5213294068153134,0.5212121212121212,0.9998385273696109,0.6852210479721131
0.14999999999999997,0.5213294068153134,0.5212121212121212,0.9998385273696109,0.6852210479721131
0.175,0.521497686159024,0.5213106469002695,0.9993541094784434,0.6851923609189039
0.15499999999999997,0.5212452671434581,0.5211718158094115,0.9996770547392217,0.6851482957060647
0.05,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.055,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.06,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.065,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.07,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.075,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.08,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.08499999999999999,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.09,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.095,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.09999999999999999,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.105,0.5210769877997475,0.5210769877997475,1.0,0.6851421617435556
0.135,0.5210769877997475,0.5210805352183792,0.9998385273696109,0.6851073246293428
0.13999999999999999,0.5210769877997475,0.5210805352183792,0.9998385273696109,0.6851073246293428
0.15999999999999998,0.5211611274716028,0.521131503620138,0.9995155821088325,0.6850755353881911
0.16499999999999998,0.5211611274716028,0.521131503620138,0.9995155821088325,0.6850755353881911
0.16999999999999998,0.5211611274716028,0.521131503620138,0.9995155821088325,0.6850755353881911
0.10999999999999999,0.5209928481278923,0.5210366879838438,0.9998385273696109,0.6850694252364883
0.11499999999999999,0.5209928481278923,0.5210366879838438,0.9998385273696109,0.6850694252364883
0.12,0.5209928481278923,0.5210366879838438,0.9998385273696109,0.6850694252364883
0.12499999999999999,0.5209928481278923,0.5210366879838438,0.9998385273696109,0.6850694252364883
0.13,0.5209928481278923,0.5210366879838438,0.9998385273696109,0.6850694252364883
0.19999999999999996,0.5215818258308793,0.5213725655509653,0.9985467463264976,0.6850559432812673
0.20999999999999996,0.5215818258308793,0.5213869906352822,0.997900855804941,0.6849163249473568
0.21499999999999997,0.5215818258308793,0.5213869906352822,0.997900855804941,0.6849163249473568
0.20499999999999996,0.5214135464871688,0.5212954372944252,0.9980623284353302,0.6848753462603877
0.21999999999999997,0.521497686159024,0.5213574202262367,0.9972549652833844,0.6847386218748267
0.235,0.5215818258308793,0.5214122814426894,0.996770547392217,0.6846716947648624
0.22499999999999998,0.521497686159024,0.5213646343523054,0.9969320200226062,0.6846686997504853
0.22999999999999998,0.521497686159024,0.5213682432432433,0.996770547392217,0.684633727055953
0.24,0.521497686159024,0.5213790772350854,0.9962861295010496,0.6845287624119376
0.25999999999999995,0.5215818258308793,0.5214376321353066,0.9956402389794929,0.6844266844266845
0.25499999999999995,0.521497686159024,0.5213935396583799,0.9956402389794929,0.6843887008158055
0.245,0.5214135464871688,0.5213458449573083,0.9958017116098822,0.6843857507490844
0.24999999999999994,0.5214135464871688,0.5213494546376934,0.9956402389794929,0.6843507214206437
0.26499999999999996,0.5214135464871688,0.521360291007529,0.9951558210883256,0.6842455867658488
0.30499999999999994,0.5227597812368532,0.5221381830543044,0.9920878411109317,0.6841870824053452
0.285,0.5216659655027346,0.5215108401084011,0.9943484579363798,0.6841842119882229
0.27499999999999997,0.521497686159024,0.521415270018622,0.9946714031971581,0.6841783750763591
0.27999999999999997,0.521497686159024,0.5214188960379276,0.994509930566769,0.6841432935295753
0.26999999999999996,0.5213294068153134,0.5213270142180095,0.9946714031971581,0.6841023932478206
0.30999999999999994,0.523012200252419,0.5222978723404256,0.9909575326982076,0.6840550632558657
0.295,0.5219183845183004,0.5216727457799644,0.9930566768932666,0.6840173506840173
0.31499999999999995,0.5231804795961296,0.5224020442930153,0.990311642176651,0.683990408743657
0.29,0.5215818258308793,0.521484871599288,0.9935410947844341,0.6839706536238329
0.3,0.522086663862011,0.5217760421088378,0.99241078637171,0.6839528154907634
0.32499999999999996,0.5236853176272612,0.5227117486338798,0.9885354432423704,0.6838313320301592
0.31999999999999995,0.5233487589398401,0.522517911975435,0.989181333763927,0.6838198359100296
0.32999999999999996,0.5232646192679848,0.5225387049867419,0.9864362990473114,0.683180496533214
0.33499999999999996,0.523012200252419,0.5224391915039397,0.9849830453738091,0.6827466562202696
0.33999999999999997,0.5232646192679848,0.5226005660862852,0.9838527369610851,0.6826125924266189
0.3449999999999999,0.5229280605805637,0.5224907542788337,0.9809462296140804,0.6818181818181818
0.3499999999999999,0.5234328986116954,0.522807622661033,0.9790085580494107,0.681618887015177
0.3549999999999999,0.5231804795961296,0.5227429955032861,0.976102050702406,0.6808582530832912
0.35999999999999993,0.5237694572991165,0.5230995926150646,0.9744873243985145,0.6807670614777214
0.36499999999999994,0.5237694572991165,0.5231718980958178,0.9715808170515098,0.6801175539730983
0.36999999999999994,0.5236853176272612,0.5232111692844678,0.9681898918133376,0.6793179629524727
0.37499999999999994,0.5227597812368532,0.5228448653863018,0.9626998223801065,0.6776540122755172
