Model,Accuracy,Precision,Recall,F1
Logistic,0.5212452671434582,0.5325499613977055,0.6422782337822545,0.5811767389601963
GBClassifier,0.5217501051745899,0.5372388710330191,0.5820633143724198,0.5266071214254778
RFClassifier,0.5244425746739587,0.5448337477299441,0.5496140348249747,0.5254626303386067
