Model,MAE,RMSE,MAPE,R2
Ridge,0.00860114814308809,0.012377625911288836,902625348.0023468,-0.04159127016578541
RandomForest,0.01161782983724346,0.015783130113288104,5215691202.706355,-2.513360271802294
GradientBoosting,0.014646186205240733,0.019585065269407568,7553987170.018837,-8.070821491737272
